# PKPARMCD codes of the parameters pkpdutils reports.
# Source: CDISC SDTM controlled terminology, codelist C85839
# (PK Parameters Code), NCI EVS package
# https://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.txt
# fetched 2026-09-17, Last-Modified 2026-07-11, md5 fdb170ff1c06ca099b51ea488ed2b589,
# 388 codes in the codelist.
# 'name' is the CDISC submission name of the code, 'condition' the
# route the code applies to (empty: every route).
variable,code,name,condition
cmax,CMAX,Cmax,
tmax,TMAX,Time of CMAX,
cmin,CMIN,Cmin,
tmin,TMIN,Time of CMIN,
clast,CLST,Last Nonzero Conc,
tlast,TLST,Time of Last Nonzero Conc,
tlag,TLAG,Time Until First Nonzero Conc,
c0,C0,Initial Conc,
cmax_half,CHTMAX,Concentration at Half Tmax,
tmax_half,HTMAX,Half Tmax,
auc_last,AUCLST,AUC to Last Nonzero Conc,
auc_all,AUCALL,AUC All,
auc_partial,AUCINT,AUC from T1 to T2,
auc_inf_obs,AUCIFO,AUC Infinity Obs,
auc_inf_pred,AUCIFP,AUC Infinity Pred,
auc_extrap_fraction,AUCPEO,AUC %Extrapolation Obs,
auc_back_extrap_fraction,AUCPBEO,AUC %Back Extrapolation Obs,
aumc_last,AUMCLST,AUMC to Last Nonzero Conc,
aumc_inf,AUMCIFO,AUMC Infinity Obs,
lambda_z,LAMZ,Lambda z,
lambda_z_r2,R2,R Squared,
lambda_z_r2_adj,R2ADJ,R Squared Adjusted,
lambda_z_n_points,LAMZNPT,Number of Points for Lambda z,
lambda_z_t_first,LAMZLL,Lambda z Lower Limit,
lambda_z_t_last,LAMZUL,Lambda z Upper Limit,
lambda_z_span,LAMZSPN,Lambda z Span,
thalf,LAMZHL,Half-Life Lambda z,
thalf_eff,EFFHL,Effective Half-Life,
mrt,MRTEVIFO,MRT Extravasc Infinity Obs,oral
mrt,MRTIBIFO,MRT IV Bolus Infinity Obs,iv_bolus
mrt,MRTICIFO,MRT IV Cont Inf Infinity Obs,iv_infusion
cl,CLO,Total CL Obs,
cl_f,CLFO,Total CL Obs by F,
vz,VZO,Vz Obs,
vz_f,VZFO,Vz Obs by F,
vss,VSSO,Vol Dist Steady State Obs,
auc_inf_dn,AUCIFOD,AUC Infinity Obs Norm by Dose,
auc_last_dn,AUCLSTD,AUC to Last Nonzero Conc Norm by Dose,
auc_all_dn,AUCALLD,AUC All Norm by Dose,
auc_tau_dn,AUCTAUD,AUC Over Dosing Interval Norm by Dose,
cmax_dn,CMAXD,Max Conc Norm by Dose,
cmax_ss_dn,CMAXD,Max Conc Norm by Dose,
cavg_dn,CAVGD,Average Conc Norm by Dose,
c0_dn,C0D,Initial Conc Norm by Dose,
auc_tau,AUCTAU,AUC Over Dosing Interval,
cmax_ss,CMAX,Cmax,
cmin_ss,CMIN,Cmin,
ctrough,CTROUGH,Conc Trough,
cavg,CAVG,Average Concentration,
fluctuation,FLUCP,Fluctuation%,
swing,SWING,Swing,
ptr,PTROUGHR,Peak Trough Ratio,
tau,TAU,Dosing Interval,
cl_ss,CLTAU,Total CL for Dose Int,
cl_ss_f,CLFTAU,Total CL by F for Dose Int,
accumulation_ratio,AILAMZ,Accumulation Index using Lambda z,
accumulation_ratio_obs,ARAUC,Accumulation Ratio AUCTAU,
accumulation_ratio_cmax_obs,ARCMAX,Accumulation Ratio Cmax,
accumulation_ratio_cmin_obs,ARCMIN,Accumulation Ratio Cmin,
accumulation_ratio_ctrough_obs,ARCTROUG,Accumulation Ratio Ctrough,
stationarity_ratio,SRAUC,Stationarity Ratio AUC,
f_abs,FABS,Absolute Bioavailability,
f_rel,FREL,Relative Bioavailability,
rate,ERINT,Excret Rate from T1 to T2,
max_rate,ERMAX,Max Excretion Rate,
tmax_rate,ERTMAX,Midpoint of Interval of Maximum ER,
rate_last,ERLST,Last Meas Excretion Rate,
mid_pt_last,ERTLST,Midpoint of Interval of Last Nonzero ER,
aurc_last,AURCLST,AURC to Last Nonzero Rate,
aurc_all,AURCALL,AURC All,
aurc_inf_obs,AURCIFO,AURC Infinity Obs,
aurc_inf_pred,AURCIFP,AURC Infinity Pred,
amount_recovered,RCAMINT,Amt Rec from T1 to T2,
percent_recovered,RCPCINT,Pct Rec from T1 to T2,
vol_ur,VOLPK,Sum of Urine Vol,
clr,RENALCL,Renal CL,
